file,question_id,stage,skill,issue_types,issue_count,requires_manual_content,recommended_phase
ALL_merged_deduped.jsonl,ks4_averages_mean_median_11f8b892d3,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_125cdb39f6,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_12b5e657b7,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1339540934,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1377541726,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_138840cc92,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_13f8169eb9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_15b8995c62,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_176996590f,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_17c3cc8018,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_180db0671d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18c86273c4,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18d4c82c90,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18dc6834a4,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1a03aaaaf7,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1ad8bacf7a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1af05d699e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1b363edba9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1b82943e7c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1d6e5561f9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1e01ecc2e4,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1f21a27011,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
